localminute,dataid,meter_value
2015-10-01 11:34:48-05,2034,72396
2015-10-01 11:34:58-05,1714,147060
2015-10-01 11:35:06-05,9639,211660
2015-10-01 11:35:08-05,8829,155874
2015-10-01 11:35:11-05,7794,433386
2015-10-01 11:35:22-05,3778,117182
2015-10-01 11:35:29-05,114,128308
2015-10-01 11:36:05-05,871,106464
2015-10-01 11:36:08-05,4031,104666
2015-10-01 11:37:07-05,871,106464
2015-10-01 11:37:07-05,9121,193630
2015-10-01 11:37:32-05,1185,139348
2015-10-01 11:37:33-05,114,128308
2015-10-01 11:37:35-05,1507,390370
2015-10-01 11:37:44-05,7030,141686
2015-10-01 11:37:44-05,5403,112920
2015-10-01 11:38:15-05,484,99316
2015-10-01 11:38:20-05,1507,390370
2015-10-01 11:38:21-05,7287,221056
2015-10-01 11:38:25-05,94,116646
2015-10-01 11:38:33-05,1790,296376
2015-10-01 11:38:56-05,5193,149826
2015-10-01 11:39:05-05,4732,183848
2015-10-01 11:39:08-05,871,106464
2015-10-01 11:39:14-05,7674,265084
2015-10-01 11:39:19-05,4447,88654
2015-10-01 11:39:24-05,9474,206450
2015-10-01 11:39:37-05,252,329242
2015-10-01 11:39:45-05,1283,167064
2015-10-01 11:39:55-05,1042,203306
2015-10-01 11:39:57-05,7460,279322
2015-10-01 11:40:00-05,739,88872
2015-10-01 11:40:16-05,6910,179128
2015-10-01 11:40:29-05,7674,265084
2015-10-01 11:40:35-05,2461,120216
2015-10-01 11:40:49-05,6412,133032
2015-10-01 11:40:56-05,484,99316
2015-10-01 11:41:02-05,3134,162388
2015-10-01 11:41:11-05,9134,230548
2015-10-01 11:41:43-05,4029,299900
2015-10-01 11:41:52-05,483,360458
2015-10-01 11:42:27-05,5193,149828
2015-10-01 11:42:50-05,1507,390370
2015-10-01 11:43:13-05,1086,83338
2015-10-01 11:43:14-05,1801,110112
2015-10-01 11:43:17-05,7117,211826
2015-10-01 11:43:44-05,7674,265084
2015-10-01 11:43:45-05,1619,63448
2015-10-01 11:43:48-05,1791,130820
2015-10-01 11:44:28-05,1714,147060
2015-10-01 11:44:35-05,1507,390370
2015-10-01 11:44:37-05,2461,120218
2015-10-01 11:44:45-05,5403,112920
2015-10-01 11:44:47-05,1791,130820
2015-10-01 11:45:06-05,9639,211660
2015-10-01 11:45:06-05,5814,802858
2015-10-01 11:45:17-05,2034,72396
2015-10-01 11:45:32-05,77,58846
2015-10-01 11:45:33-05,1790,296376
2015-10-01 11:46:06-05,7429,132644
2015-10-01 11:46:18-05,3635,151330
2015-10-01 11:46:32-05,2034,72396
2015-10-01 11:46:41-05,5972,279342
2015-10-01 11:46:43-05,1791,130820
2015-10-01 11:46:44-05,7674,265084
2015-10-01 11:46:54-05,744,134316
2015-10-01 11:46:59-05,3893,89556
2015-10-01 11:47:13-05,1801,110112
2015-10-01 11:47:14-05,7674,265084
2015-10-01 11:47:18-05,2034,72396
2015-10-01 11:47:30-05,3893,89556
2015-10-01 11:47:37-05,5439,181044
2015-10-01 11:48:26-05,7017,375952
2015-10-01 11:48:32-05,2034,72396
2015-10-01 11:48:51-05,5814,802858
2015-10-01 11:49:20-05,1507,390370
2015-10-01 11:49:30-05,8467,87008
2015-10-01 11:49:41-05,5403,112920
2015-10-01 11:50:36-05,7287,221058
2015-10-01 11:50:53-05,7741,271148
2015-10-01 11:50:56-05,5814,802858
2015-10-01 11:51:06-05,3723,242102
2015-10-01 11:51:06-05,1507,390370
2015-10-01 11:51:06-05,8829,155876
2015-10-01 11:51:35-05,7287,221058
2015-10-01 11:51:44-05,7674,265084
2015-10-01 11:51:44-05,5810,97518
2015-10-01 11:51:48-05,2034,72396
2015-10-01 11:51:49-05,1283,167064
2015-10-01 11:51:54-05,5814,802858
2015-10-01 11:52:04-05,5131,104136
2015-10-01 11:52:06-05,1507,390370
2015-10-01 11:52:19-05,94,116646
2015-10-01 11:52:30-05,7674,265084
2015-10-01 11:52:38-05,871,106464
2015-10-01 11:52:41-05,8155,243620
2015-10-01 11:52:45-05,9956,95870
2015-10-01 11:52:47-05,2034,72396
2015-10-01 11:52:53-05,5193,149828
2015-10-01 11:52:53-05,7741,271148
2015-10-01 11:52:57-05,9729,122198
2015-10-01 11:52:59-05,7674,265084
2015-10-01 11:53:18-05,5810,97518
2015-10-01 11:53:23-05,484,99316
2015-10-01 11:53:30-05,114,128310
2015-10-01 11:53:32-05,2034,72396
2015-10-01 11:53:35-05,1185,139348
2015-10-01 11:53:42-05,4029,299900
2015-10-01 11:54:15-05,5785,164284
2015-10-01 11:55:02-05,2034,72396
2015-10-01 11:55:05-05,5131,104136
2015-10-01 11:55:13-05,3778,117182
2015-10-01 11:55:14-05,1801,110112
2015-10-01 11:55:16-05,7739,149762
2015-10-01 11:55:33-05,77,58846
2015-10-01 11:56:10-05,9134,230548
2015-10-01 11:56:15-05,2335,202100
2015-10-01 11:56:16-05,5810,97518
2015-10-01 11:56:16-05,1800,125012
2015-10-01 11:56:20-05,6910,179128
2015-10-01 11:56:28-05,1714,147060
2015-10-01 11:56:31-05,8467,87008
2015-10-01 11:56:38-05,484,99316
2015-10-01 11:56:46-05,4352,218224
2015-10-01 11:56:48-05,6910,179128
2015-10-01 11:56:55-05,4514,382190
2015-10-01 11:57:03-05,5814,802858
2015-10-01 11:57:05-05,9639,211660
2015-10-01 11:57:10-05,7017,375952
2015-10-01 11:57:29-05,8467,87008
2015-10-01 11:57:32-05,1714,147060
2015-10-01 11:57:32-05,4421,85354
2015-10-01 11:57:34-05,5810,97518
2015-10-01 11:57:36-05,9639,211660
2015-10-01 11:57:37-05,7030,141686
2015-10-01 11:57:37-05,484,99316
