,localminute,dataid,meter_value
306,2015-10-01 17:58:25-05,94,116648
307,2015-10-01 18:01:23-05,94,116648
308,2015-10-01 18:18:40-05,94,116648
309,2015-10-01 18:21:59-05,94,116648
310,2015-10-01 18:27:40-05,94,116648
311,2015-10-01 18:30:54-05,94,116648
312,2015-10-01 18:35:52-05,94,116648
313,2015-10-01 18:37:50-05,94,116648
314,2015-10-01 18:43:36-05,94,116648
315,2015-10-01 18:46:38-05,94,116648
316,2015-10-01 19:13:46-05,94,116650
317,2015-10-01 19:34:39-05,94,116650
318,2015-10-01 19:49:38-05,94,116650
319,2015-10-01 19:56:45-05,94,116650
320,2015-10-01 19:58:24-05,94,116652
321,2015-10-01 20:03:08-05,94,116654
322,2015-10-01 20:10:40-05,94,116658
323,2015-10-01 20:20:07-05,94,116658
324,2015-10-01 20:25:43-05,94,116658
325,2015-10-01 20:26:29-05,94,116658
326,2015-10-01 20:30:31-05,94,116658
327,2015-10-01 20:32:42-05,94,116658
328,2015-10-01 20:39:20-05,94,116658
329,2015-10-01 20:48:52-05,94,116658
330,2015-10-01 20:54:58-05,94,116658
331,2015-10-01 20:57:45-05,94,116658
332,2015-10-01 20:59:16-05,94,116658
333,2015-10-01 21:00:57-05,94,116658
334,2015-10-01 21:06:38-05,94,116658
335,2015-10-01 21:20:48-05,94,116658
336,2015-10-01 21:23:20-05,94,116658
337,2015-10-01 21:32:59-05,94,116658
338,2015-10-01 21:34:02-05,94,116658
339,2015-10-01 22:04:10-05,94,116666
340,2015-10-01 22:09:07-05,94,116668
